user,is_private,is_failure,is_root,is_success,command,ipaddress,date,target
support,0,1,0,0,0,116.110.252.176,2021-11-19 07:03:54,0
admin,0,1,0,0,0,115.76.92.112,2021-11-19 07:03:54,0
root,0,1,1,0,0,116.110.18.33,2021-11-19 07:03:57,0
admin,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:02,0
user,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:05,0
administrator,0,1,0,0,0,115.76.92.112,2021-11-19 07:04:07,0
admin,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:09,0
root,0,1,1,0,0,116.110.18.33,2021-11-19 07:04:13,0
config,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:14,0
system,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:15,0
admin,0,1,1,0,0,116.110.18.33,2021-11-19 07:04:16,0
guest,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:19,0
user1,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:22,0
operator,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:23,0
admin,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:25,0
uucp,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:28,0
ubnt,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:33,0
admin,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:41,0
user,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:43,0
user1,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:44,0
test,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:47,0
support,0,1,0,0,0,116.110.18.33,2021-11-19 07:04:52,0
admin,0,1,0,0,0,116.110.121.105,2021-11-19 07:05:00,0
root,0,0,1,1,1,195.3.147.47,2021-11-19 07:28:19,1
user,0,1,0,0,0,107.189.30.134,2021-11-19 07:42:33,0
user,0,1,0,0,0,107.189.30.134,2021-11-19 07:43:18,0
user,0,1,0,0,0,107.189.30.134,2021-11-19 07:44:07,0
user,0,1,0,0,0,107.189.30.134,2021-11-19 07:44:52,0
user,0,1,0,0,0,107.189.30.134,2021-11-19 07:45:40,0
user,0,1,0,0,0,107.189.30.134,2021-11-19 07:46:23,0
user,0,1,0,0,0,107.189.30.134,2021-11-19 07:47:12,0
user,0,1,0,0,0,107.189.30.134,2021-11-19 07:47:56,0
user,0,1,0,0,0,195.133.18.24,2021-11-19 08:05:33,0
user,0,1,0,0,0,195.133.18.24,2021-11-19 08:06:16,0
user,0,1,0,0,0,195.133.18.24,2021-11-19 08:06:56,0
user,0,1,0,0,0,141.98.10.92,2021-11-19 08:21:30,0
user,0,1,0,0,0,199.19.225.172,2021-11-19 08:45:58,0
user,0,1,0,0,0,141.98.10.63,2021-11-19 09:17:28,0
